2026-05-26 16:49:37,395 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,395 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,395 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,395 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,395 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,395 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,395 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,395 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,395 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,396 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,396 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,396 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,396 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,396 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,396 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,396 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,396 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,396 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,396 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,396 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,396 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,397 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,397 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,397 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,397 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,397 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,397 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,397 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,397 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,397 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,397 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,397 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,397 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,398 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,398 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,398 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,398 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,398 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,398 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,398 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,398 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,398 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,398 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,398 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,398 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,398 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,398 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,399 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,399 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,399 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,399 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,399 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,399 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,399 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,399 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,399 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,399 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,399 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,399 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,399 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,400 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,400 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,400 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,400 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,400 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,400 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,400 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,400 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,400 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,400 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,400 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,400 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,400 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,401 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,401 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,401 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,401 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,401 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,401 | root | INFO | Similituds trobades per a recomanació simple
